"#Original date of excess losses for TE3, TE2, TE1 and TE0 @1500-1600 nm, illustrated in Fig. 3",,,,
Wavelength(um),TE0(dB),TE1(dB),TE2(dB),TE3(dB)
1.6,0.002850701,0.022422138,0.023938304,0.20627819
1.599464166,0.002867183,0.022005542,0.023455167,0.201923907
1.598928691,0.002885236,0.021594438,0.022977435,0.197661071
1.598393574,0.002904858,0.021188861,0.022505145,0.193487838
1.597858816,0.002926051,0.020788848,0.022038331,0.189402399
1.597324415,0.002948812,0.020394434,0.021577027,0.18540298
1.596790371,0.002973142,0.020005653,0.021121268,0.181487841
1.596256684,0.002999041,0.019622539,0.020671085,0.177655273
1.595723354,0.003026506,0.019245126,0.02022651,0.173903603
1.595190381,0.003055538,0.018873448,0.019787575,0.170231188
1.594657763,0.003086136,0.018507537,0.019354311,0.166636418
1.594125501,0.003118299,0.018147425,0.018926747,0.163117713
1.593593594,0.003152027,0.017793146,0.018504913,0.159673525
1.593062041,0.003187319,0.017444729,0.018088836,0.156302334
1.592530844,0.003224174,0.017102206,0.017678545,0.153002652
1.592,0.003262591,0.016765608,0.017274066,0.14977302
1.59146951,0.003302569,0.016434966,0.016875426,0.146612006
1.590939374,0.003344108,0.016110307,0.01648265,0.143518208
1.59040959,0.003387207,0.015791663,0.016095761,0.140490253
1.58988016,0.003431865,0.015479061,0.015714785,0.137526792
1.589351082,0.00347808,0.01517253,0.015339743,0.134626506
1.588822355,0.003525852,0.014872098,0.014970658,0.131788102
1.588293981,0.003575181,0.014577792,0.014607551,0.129010314
1.587765957,0.003626064,0.014289639,0.014250443,0.126291902
1.587238285,0.003678502,0.014007666,0.013899352,0.123631651
1.586710963,0.003732492,0.013731899,0.013554298,0.121028371
1.586183992,0.003788035,0.013462364,0.013215299,0.1184809
1.585657371,0.003845128,0.013199085,0.012882372,0.115988096
1.585131099,0.003903772,0.012942088,0.012555533,0.113548846
1.584605176,0.003963963,0.012691397,0.012234796,0.111162059
1.584079602,0.004025703,0.012447035,0.011920178,0.108826669
1.583554377,0.004088989,0.012209027,0.01161169,0.106541631
1.5830295,0.00415382,0.011977394,0.011309347,0.104305927
1.58250497,0.004220195,0.01175216,0.01101316,0.102118559
1.581980788,0.004288113,0.011533347,0.01072314,0.099978554
1.581456954,0.004357572,0.011320976,0.010439298,0.097884958
1.580933466,0.004428572,0.011115069,0.010161642,0.095836843
1.580410324,0.00450111,0.010915646,0.009890181,0.093833301
1.579887529,0.004575187,0.010722728,0.009624924,0.091873444
1.579365079,0.0046508,0.010536335,0.009365876,0.089956408
1.578842975,0.004727948,0.010356486,0.009113044,0.088081346
1.578321216,0.004806629,0.0101832,0.008866433,0.086247436
1.577799802,0.004886843,0.010016496,0.008626047,0.084453871
1.577278732,0.004968588,0.009856392,0.00839189,0.082699867
1.576758006,0.005051862,0.009702906,0.008163965,0.080984658
1.576237624,0.005136664,0.009556055,0.007942273,0.079307497
1.575717585,0.005222992,0.009415856,0.007726816,0.077667656
1.575197889,0.005310846,0.009282326,0.007517594,0.076064422
1.574678536,0.005400223,0.00915548,0.007314606,0.074497104
1.574159525,0.005491122,0.009035335,0.007117852,0.072965024
1.573640857,0.005583542,0.008921906,0.006927328,0.071467523
1.57312253,0.00567748,0.008815206,0.006743033,0.070003957
1.572604544,0.005772936,0.008715251,0.006564963,0.068573698
1.572086899,0.005869907,0.008622055,0.006393114,0.067176132
1.571569595,0.005968391,0.008535631,0.006227481,0.06581066
1.571052632,0.006068389,0.008455993,0.006068057,0.064476699
1.570536008,0.006169896,0.008383152,0.005914838,0.063173677
1.570019724,0.006272913,0.008317121,0.005767815,0.061901036
1.569503779,0.006377436,0.008257912,0.00562698,0.06065823
1.568988173,0.006483465,0.008205537,0.005492326,0.059444726
1.568472906,0.006590997,0.008160006,0.005363843,0.058260001
1.567957978,0.006700031,0.00812133,0.005241522,0.057103545
1.567443387,0.006810564,0.008089519,0.005125351,0.055974856
1.566929134,0.006922596,0.008064583,0.00501532,0.054873444
1.566415218,0.007036123,0.008046531,0.004911418,0.053798828
1.565901639,0.007151145,0.008035372,0.004813631,0.052750534
1.565388397,0.007267659,0.008031115,0.004721948,0.051728098
1.564875491,0.007385662,0.008033767,0.004636354,0.050731066
1.564362922,0.007505154,0.008043336,0.004556835,0.049758988
1.563850688,0.007626132,0.00805983,0.004483378,0.048811424
1.563338789,0.007748595,0.008083255,0.004415965,0.047887939
1.562827225,0.007872539,0.008113618,0.004354583,0.046988106
1.562315996,0.007997963,0.008150925,0.004299215,0.046111501
1.561805101,0.008124865,0.00819518,0.004249843,0.045257711
1.561294541,0.008253242,0.00824639,0.004206451,0.044426322
1.560784314,0.008383093,0.008304559,0.00416902,0.043616931
1.56027442,0.008514415,0.008369692,0.004137533,0.042829136
1.55976486,0.008647205,0.008441791,0.00411197,0.042062541
1.559255632,0.008781463,0.008520861,0.004092313,0.041316754
1.558746736,0.008917185,0.008606906,0.004078542,0.040591388
1.558238173,0.009054369,0.008699926,0.004070635,0.039886059
1.557729941,0.009193013,0.008799926,0.004068574,0.039200387
1.557222041,0.009333114,0.008906906,0.004072337,0.038533996
1.556714472,0.00947467,0.009020868,0.004081901,0.037886515
1.556207234,0.009617678,0.009141813,0.004097247,0.037257573
1.555700326,0.009762137,0.009269742,0.00411835,0.036646807
1.555193748,0.009908043,0.009404654,0.00414519,0.036053854
1.5546875,0.010055394,0.009546551,0.004177741,0.035478355
1.554181582,0.010204188,0.00969543,0.004215983,0.034919958
1.553675992,0.010354422,0.009851292,0.004259889,0.034378309
1.553170732,0.010506093,0.010014134,0.004309437,0.033853063
1.5526658,0.010659199,0.010183956,0.004364602,0.033343874
1.552161196,0.010813737,0.010360754,0.00442536,0.032850403
1.55165692,0.010969705,0.010544526,0.004491685,0.032372313
1.551152972,0.0111271,0.01073527,0.004563552,0.031909273
1.550649351,0.011285919,0.010932982,0.004640936,0.031460952
1.550146056,0.011446159,0.011137658,0.00472381,0.031027029
1.549643089,0.011607818,0.011349293,0.00481215,0.030607181
1.549140448,0.011770893,0.011567885,0.004905927,0.030201094
1.548638132,0.011935382,0.011793427,0.005005117,0.029808457
1.548136143,0.01210128,0.012025914,0.005109692,0.029428964
1.547634478,0.012268586,0.012265341,0.005219625,0.029062312
1.547133139,0.012437297,0.012511701,0.005334889,0.028708205
1.546632124,0.01260741,0.012764989,0.005455457,0.028366352
1.546131434,0.012778921,0.013025197,0.005581302,0.028036466
1.545631068,0.012951829,0.013292318,0.005712395,0.027718267
1.545131026,0.013126129,0.013566346,0.00584871,0.027411477
1.544631307,0.01330182,0.01384727,0.005990218,0.027115827
1.544131911,0.013478898,0.014135085,0.006136892,0.026831053
1.543632838,0.01365736,0.01442978,0.006288704,0.026556896
1.543134087,0.013837203,0.014731347,0.006445625,0.026293101
1.542635659,0.014018424,0.015039777,0.006607629,0.026039422
1.542137552,0.014201021,0.01535506,0.006774685,0.025795618
1.541639768,0.014384989,0.015677185,0.006946768,0.025561452
1.541142304,0.014570327,0.016006143,0.007123848,0.025336695
1.540645161,0.01475703,0.016341923,0.007305897,0.025121122
1.540148339,0.014945097,0.016684513,0.007492888,0.024914516
1.539651838,0.015134523,0.017033902,0.007684793,0.024716665
1.539155656,0.015325305,0.017390078,0.007881584,0.024527362
1.538659794,0.015517441,0.01775303,0.008083233,0.024346407
1.538164251,0.015710927,0.018122744,0.008289712,0.024173605
1.537669028,0.015905761,0.018499208,0.008500994,0.024008768
1.537174123,0.016101938,0.018882408,0.008717052,0.02385171
1.536679537,0.016299457,0.019272332,0.008937858,0.023702256
1.536185269,0.016498312,0.019668965,0.009163386,0.023560231
1.535691318,0.016698503,0.020072293,0.009393608,0.02342547
1.535197686,0.016900024,0.020482302,0.009628499,0.023297809
1.53470437,0.017102873,0.020898976,0.009868031,0.023177091
1.534211372,0.017307047,0.021322301,0.010112178,0.023063165
1.53371869,0.017512543,0.021752261,0.010360915,0.022955883
1.533226324,0.017719357,0.02218884,0.010614216,0.022855102
1.532734275,0.017927485,0.022632022,0.010872056,0.022760685
1.532242541,0.018136926,0.023081791,0.011134409,0.022672496
1.531751123,0.018347675,0.02353813,0.011401251,0.022590407
1.531260019,0.018559729,0.024001021,0.011672557,0.022514291
1.530769231,0.018773085,0.024470447,0.011948303,0.022444026
1.530278757,0.01898774,0.024946391,0.012228466,0.022379495
1.529788597,0.01920369,0.025428834,0.012513021,0.022320583
1.529298751,0.019420931,0.025917757,0.012801947,0.022267179
1.528809219,0.019639462,0.026413143,0.01309522,0.022219175
1.52832,0.019859278,0.026914971,0.013392818,0.022176467
1.527831094,0.020080376,0.027423223,0.013694719,0.022138952
1.527342501,0.020302753,0.027937879,0.014000902,0.022106533
1.52685422,0.020526405,0.028458918,0.014311345,0.022079112
1.526366251,0.020751329,0.028986321,0.014626028,0.022056598
1.525878594,0.020977522,0.029520066,0.01494493,0.0220389
1.525391249,0.021204981,0.030060133,0.015268032,0.02202593
1.524904215,0.021433702,0.0306065,0.015595314,0.022017601
1.524417491,0.021663681,0.031159145,0.015926758,0.022013832
1.523931078,0.021894916,0.031718047,0.016262344,0.022014541
1.523444976,0.022127403,0.032283183,0.016602054,0.022019649
1.522959184,0.022361139,0.03285453,0.016945871,0.022029081
1.522473701,0.02259612,0.033432066,0.017293777,0.022042761
1.521988528,0.022832343,0.034015768,0.017645757,0.022060619
1.521503664,0.023069805,0.03460561,0.018001792,0.022082583
1.521019108,0.023308502,0.035201571,0.018361868,0.022108587
1.520534862,0.023548431,0.035803625,0.018725968,0.022138565
1.520050923,0.023789589,0.036411748,0.019094078,0.022172452
1.519567292,0.024031973,0.037025915,0.019466183,0.022210189
1.519083969,0.024275578,0.0376461,0.019842269,0.022251716
1.518600954,0.024520402,0.038272279,0.020222322,0.022296975
1.518118245,0.024766441,0.038904425,0.020606328,0.022345912
1.517635844,0.025013692,0.039542512,0.020994275,0.022398475
1.517153748,0.025262152,0.040186513,0.021386151,0.022454614
1.516671959,0.025511817,0.040836403,0.021781943,0.02251428
1.516190476,0.025762684,0.041492153,0.022181639,0.022577429
1.515709299,0.02601475,0.042153736,0.022585229,0.022644018
1.515228426,0.026268011,0.042821125,0.022992701,0.022714006
1.514747859,0.026522464,0.043494292,0.023404044,0.022787355
1.514267597,0.026778105,0.044173207,0.02381925,0.02286403
1.513787639,0.027034932,0.044857843,0.024238309,0.022943999
1.513307985,0.02729294,0.04554817,0.02466121,0.023027231
1.512828635,0.027552127,0.046244159,0.025087946,0.023113699
1.512349588,0.02781249,0.04694578,0.025518507,0.02320338
1.511870845,0.028074024,0.047653004,0.025952887,0.02329625
1.511392405,0.028336728,0.048365801,0.026391076,0.023392292
1.510914268,0.028600596,0.049084139,0.026833068,0.02349149
1.510436433,0.028865627,0.049807988,0.027278856,0.023593831
1.5099589,0.029131816,0.050537317,0.027728434,0.023699303
1.509481669,0.029399161,0.051272095,0.028181794,0.023807901
1.509004739,0.029667658,0.05201229,0.028638932,0.02391962
1.508528111,0.029937304,0.05275787,0.029099842,0.024034459
1.508051784,0.030208096,0.053508803,0.029564519,0.024152418
1.507575758,0.03048003,0.054265056,0.030032958,0.024273504
1.507100032,0.030753103,0.055026597,0.030505155,0.024397722
1.506624606,0.031027312,0.055793392,0.030981105,0.024525083
1.50614948,0.031302653,0.056565408,0.031460807,0.024655599
1.505674653,0.031579124,0.057342613,0.031944255,0.024789288
1.505200126,0.031856721,0.058124971,0.032431447,0.024926166
1.504725898,0.03213544,0.058912449,0.032922382,0.025066255
1.504251969,0.03241528,0.059705013,0.033417056,0.025209579
1.503778338,0.032696235,0.060502627,0.033915468,0.025356164
1.503305005,0.032978304,0.061305258,0.034417617,0.025506038
1.50283197,0.033261483,0.062112871,0.034923501,0.025659233
1.502359232,0.033545769,0.062925429,0.035433121,0.025815781
1.501886792,0.033831158,0.063742898,0.035946475,0.025975718
1.501414649,0.034117647,0.064565242,0.036463565,0.026139082
1.500942803,0.034405234,0.065392424,0.03698439,0.026305911
1.500471254,0.034693915,0.06622441,0.037508951,0.026476248
1.5,0.034983686,0.067061162,0.038037251,0.026650135
