

lambda(m), TE3
1.6e-06, 0.969786
1.59946e-06, 0.970429
1.59893e-06, 0.971059
1.59839e-06, 0.971675
1.59786e-06, 0.972278
1.59732e-06, 0.972868
1.59679e-06, 0.973446
1.59626e-06, 0.974011
1.59572e-06, 0.974563
1.59519e-06, 0.975104
1.59466e-06, 0.975633
1.59413e-06, 0.97615
1.59359e-06, 0.976655
1.59306e-06, 0.977149
1.59253e-06, 0.977633
1.592e-06, 0.978105
1.59147e-06, 0.978567
1.59094e-06, 0.979018
1.59041e-06, 0.979459
1.58988e-06, 0.97989
1.58935e-06, 0.980311
1.58882e-06, 0.980722
1.58829e-06, 0.981124
1.58777e-06, 0.981516
1.58724e-06, 0.9819
1.58671e-06, 0.982274
1.58618e-06, 0.982639
1.58566e-06, 0.982996
1.58513e-06, 0.983344
1.58461e-06, 0.983685
1.58408e-06, 0.984017
1.58355e-06, 0.984341
1.58303e-06, 0.984657
1.5825e-06, 0.984966
1.58198e-06, 0.985267
1.58146e-06, 0.985561
1.58093e-06, 0.985848
1.58041e-06, 0.986128
1.57989e-06, 0.986401
1.57937e-06, 0.986668
1.57884e-06, 0.986928
1.57832e-06, 0.987182
1.5778e-06, 0.987429
1.57728e-06, 0.98767
1.57676e-06, 0.987906
1.57624e-06, 0.988135
1.57572e-06, 0.988359
1.5752e-06, 0.988578
1.57468e-06, 0.98879
1.57416e-06, 0.988998
1.57364e-06, 0.9892
1.57312e-06, 0.989398
1.5726e-06, 0.98959
1.57209e-06, 0.989777
1.57157e-06, 0.98996
1.57105e-06, 0.990138
1.57054e-06, 0.990312
1.57002e-06, 0.990481
1.5695e-06, 0.990645
1.56899e-06, 0.990806
1.56847e-06, 0.990962
1.56796e-06, 0.991114
1.56744e-06, 0.991262
1.56693e-06, 0.991406
1.56642e-06, 0.991547
1.5659e-06, 0.991683
1.56539e-06, 0.991816
1.56488e-06, 0.991946
1.56436e-06, 0.992071
1.56385e-06, 0.992194
1.56334e-06, 0.992313
1.56283e-06, 0.992428
1.56232e-06, 0.992541
1.56181e-06, 0.99265
1.56129e-06, 0.992756
1.56078e-06, 0.992859
1.56027e-06, 0.992959
1.55976e-06, 0.993056
1.55926e-06, 0.99315
1.55875e-06, 0.993242
1.55824e-06, 0.99333
1.55773e-06, 0.993416
1.55722e-06, 0.993499
1.55671e-06, 0.99358
1.55621e-06, 0.993658
1.5557e-06, 0.993733
1.55519e-06, 0.993806
1.55469e-06, 0.993877
1.55418e-06, 0.993945
1.55368e-06, 0.994011
1.55317e-06, 0.994075
1.55267e-06, 0.994136
1.55216e-06, 0.994195
1.55166e-06, 0.994253
1.55115e-06, 0.994308
1.55065e-06, 0.994361
1.55015e-06, 0.994412
1.54964e-06, 0.994461
1.54914e-06, 0.994508
1.54864e-06, 0.994553
1.54814e-06, 0.994596
1.54763e-06, 0.994638
1.54713e-06, 0.994677
1.54663e-06, 0.994715
1.54613e-06, 0.994752
1.54563e-06, 0.994786
1.54513e-06, 0.994819
1.54463e-06, 0.994851
1.54413e-06, 0.994881
1.54363e-06, 0.994909
1.54313e-06, 0.994936
1.54264e-06, 0.994961
1.54214e-06, 0.994985
1.54164e-06, 0.995007
1.54114e-06, 0.995029
1.54065e-06, 0.995048
1.54015e-06, 0.995067
1.53965e-06, 0.995084
1.53916e-06, 0.9951
1.53866e-06, 0.995114
1.53816e-06, 0.995128
1.53767e-06, 0.99514
1.53717e-06, 0.995151
1.53668e-06, 0.99516
1.53619e-06, 0.995169
1.53569e-06, 0.995176
1.5352e-06, 0.995183
1.5347e-06, 0.995188
1.53421e-06, 0.995192
1.53372e-06, 0.995195
1.53323e-06, 0.995197
1.53273e-06, 0.995199
1.53224e-06, 0.995199
1.53175e-06, 0.995198
1.53126e-06, 0.995196
1.53077e-06, 0.995193
1.53028e-06, 0.995189
1.52979e-06, 0.995184
1.5293e-06, 0.995178
1.52881e-06, 0.995171
1.52832e-06, 0.995164
1.52783e-06, 0.995155
1.52734e-06, 0.995146
1.52685e-06, 0.995135
1.52637e-06, 0.995124
1.52588e-06, 0.995112
1.52539e-06, 0.995099
1.5249e-06, 0.995085
1.52442e-06, 0.99507
1.52393e-06, 0.995055
1.52344e-06, 0.995038
1.52296e-06, 0.995021
1.52247e-06, 0.995003
1.52199e-06, 0.994984
1.5215e-06, 0.994964
1.52102e-06, 0.994943
1.52053e-06, 0.994921
1.52005e-06, 0.994899
1.51957e-06, 0.994876
1.51908e-06, 0.994852
1.5186e-06, 0.994827
1.51812e-06, 0.994801
1.51764e-06, 0.994775
1.51715e-06, 0.994747
1.51667e-06, 0.994719
1.51619e-06, 0.99469
1.51571e-06, 0.99466
1.51523e-06, 0.99463
1.51475e-06, 0.994598
1.51427e-06, 0.994566
1.51379e-06, 0.994532
1.51331e-06, 0.994498
1.51283e-06, 0.994463
1.51235e-06, 0.994427
1.51187e-06, 0.994391
1.51139e-06, 0.994353
1.51091e-06, 0.994315
1.51044e-06, 0.994275
1.50996e-06, 0.994235
1.50948e-06, 0.994194
1.509e-06, 0.994152
1.50853e-06, 0.994109
1.50805e-06, 0.994065
1.50758e-06, 0.99402
1.5071e-06, 0.993974
1.50662e-06, 0.993928
1.50615e-06, 0.99388
1.50567e-06, 0.993831
1.5052e-06, 0.993782
1.50473e-06, 0.993731
1.50425e-06, 0.99368
1.50378e-06, 0.993627
1.50331e-06, 0.993574
1.50283e-06, 0.993519
1.50236e-06, 0.993463
1.50189e-06, 0.993407
1.50141e-06, 0.993349
1.50094e-06, 0.99329
1.50047e-06, 0.993231
1.5e-06, 0.99317



lambda(m), TE2
1.6e-06, 0.995643
1.59946e-06, 0.995739
1.59893e-06, 0.995834
1.59839e-06, 0.995927
1.59786e-06, 0.996019
1.59732e-06, 0.99611
1.59679e-06, 0.996199
1.59626e-06, 0.996288
1.59572e-06, 0.996374
1.59519e-06, 0.99646
1.59466e-06, 0.996544
1.59413e-06, 0.996627
1.59359e-06, 0.996708
1.59306e-06, 0.996788
1.59253e-06, 0.996867
1.592e-06, 0.996944
1.59147e-06, 0.997021
1.59094e-06, 0.997095
1.59041e-06, 0.997169
1.58988e-06, 0.997241
1.58935e-06, 0.997311
1.58882e-06, 0.99738
1.58829e-06, 0.997448
1.58777e-06, 0.997515
1.58724e-06, 0.99758
1.58671e-06, 0.997643
